Date,Account,Inbound Message,Created Time,snTypeColumn,Associated Cases,Replied Post,Status,Account.1,Account Type,Author Name,Campaign Name,ScheduledTime,PublishedTime,Sentiment,Inbound Message Tags,Volume of Fan Messages Replied (SUM),Agent,Response Time (SUM),Inbound Message Cleaned,Replied Post Cleaned
2023-10-17,Dove Sri Lanka Facebook,Konde godak yanawa mage.konde aluthen wevimak wenawada,2023-10-12 09:11:01,Facebook,7941986,"Hi Madumali, ඔබට Dove Hair Fall Rescue Shampoo එක සහ Dove Hair Fall Rescue Conditioner එක නිර්දේශ කළ හැකිය.",SENT,Dove Sri Lanka Facebook,FBPAGE,Randika Soyza,Customer Care (Unilever),2023-10-17 21:02:34,2023-10-17 21:02:34,Neutral, ,1.0,Randika Soyza,5 days 11:51:37.519000,Konde godak yanawa magekonde aluthen wevimak wenawada,Hi Madumali ඔබට Dove Hair Fall Rescue Shampoo එක සහ Dove Hair Fall Rescue Conditioner එක නිර්දේශ කළ හැකිය
2023-10-17,Knorr Sri Lanka Facebook,"Done
Knorr Sri Lanka",2023-10-11 18:42:06,Facebook,7937279,"Thank you for taking the time to contact the Consumer Engagement Centre

In order for us to continuously improve our service please could you complete our short Consumer Satisfaction Survey by clicking on the following link.   

Click Here: %%[message__c_617bad9b5b7cd6357aed6a44:CRM NPS Survey URL]
Kind regards, 

Unilever Consumer Engagement Team",SENT,Knorr Sri Lanka Facebook,FBPAGE,Moderation User,Customer Care (Unilever),2023-10-17 17:50:13,2023-10-17 17:50:13,Neutral, ,1.0,Moderation User,5 days 23:08:07.864000,Done Knorr Sri Lanka,Thank you for taking the time to contact the Consumer Engagement Centre In order for us to continuously improve our service please could you complete our short Consumer Satisfaction Survey by clicking on the following link Click Here Kind regards Unilever Consumer Engagement Team
2023-10-17,Pears Baby Sri Lanka,Pears Sri Lanka done,2023-10-11 23:20:00,Facebook,7939360,"Thank you for taking the time to contact the Consumer Engagement Centre

In order for us to continuously improve our service please could you complete our short Consumer Satisfaction Survey by clicking on the following link.   

Click Here: %%[message__c_617bad9b5b7cd6357aed6a44:CRM NPS Survey URL]
Kind regards, 

Unilever Consumer Engagement Team",SENT,Pears Baby Sri Lanka,FBPAGE,Moderation User,Customer Care (Unilever),2023-10-17 19:45:25,2023-10-17 19:45:25,Neutral, ,1.0,Moderation User,5 days 20:25:25.526000,Pears Sri Lanka done,Thank you for taking the time to contact the Consumer Engagement Centre In order for us to continuously improve our service please could you complete our short Consumer Satisfaction Survey by clicking on the following link Click Here Kind regards Unilever Consumer Engagement Team
2023-10-17,Pond's Sri Lanka Facebook,Rata witharada me cream eka ganne,2023-10-11 20:01:11,Facebook,7938009,"Hi Dilrukshi, ඔබට මෙම නිෂ්පාදනය දිවා කාලයේ සහ රාත්‍රී කාලයේ භාවිතා කළ හැකියි.",SENT,Pond's Sri Lanka Facebook,FBPAGE,Randika Soyza,Customer Care (Unilever),2023-10-17 18:57:50,2023-10-17 18:57:50,Neutral, ,1.0,Randika Soyza,5 days 22:56:43.631000,Rata witharada me cream eka ganne,Hi Dilrukshi ඔබට මෙම නිෂ්පාදනය දිවා කාලයේ සහ රාත්රී කාලයේ භාවිතා කළ හැකියි
2023-10-17,Pond's Sri Lanka Facebook,Hi ponds mata thiyenne oily skin ekak mama denata ponds bright beauty cream eka use karanawa ponds light gel moisturizer eka mage skin ekata hari yayda pimples wediya nehe ekak dekak wage thamai hadenne,2023-10-11 19:47:03,Facebook,7937872,"Hi Nazreen, Pond's Sri Lanka සමඟ සම්බන්ධ වූවාට ස්තූතියි!
ඔව්, ඔබට එලෙස භාවිතා කරන්න පුළුවන්.",SENT,Pond's Sri Lanka Facebook,FBPAGE,Randika Soyza,Customer Care (Unilever),2023-10-17 18:51:37,2023-10-17 18:51:39,Neutral, ,1.0,Randika Soyza,5 days 23:04:36.446000,Hi ponds mata thiyenne oily skin ekak mama denata ponds bright beauty cream eka use karanawa ponds light gel moisturizer eka mage skin ekata hari yayda pimples wediya nehe ekak dekak wage thamai hadenne,Hi Nazreen Ponds Sri Lanka සමඟ සම්බන්ධ වූවාට ස්තූතියි ඔව් ඔබට එලෙස භාවිතා කරන්න පුළුවන්
2023-10-17,Pond's Sri Lanka Facebook,Skin akea tikak glow karanda hoda cream akea mkd day cream akak,2023-10-11 21:54:14,Facebook,7938846,"Hi Madavi, Pond's Sri Lanka සමඟ සම්බන්ධ වූවාට ස්තූතියි!
ඔබට Pond's Bright Beauty Serum Cream එක නිර්දේශ කළ හැක.",SENT,Pond's Sri Lanka Facebook,FBPAGE,Randika Soyza,Customer Care (Unilever),2023-10-17 19:31:36,2023-10-17 19:31:37,Neutral, ,1.0,Randika Soyza,5 days 21:37:23.425000,Skin akea tikak glow karanda hoda cream akea mkd day cream akak,Hi Madavi Ponds Sri Lanka සමඟ සම්බන්ධ වූවාට ස්තූතියි ඔබට Ponds Bright Beauty Serum Cream එක නිර්දේශ කළ හැක
2023-10-17,Pond's Sri Lanka Facebook,Is this available Sri Lanka?,2023-10-11 18:40:37,Facebook,7937276,"Hi Anupama, Thank you for contacting Pond's Sri Lanka! 
Kindly note that Pond's Age Miracle Day Cream is currently unavailable due to limited stock because of its high demand. However, please visit our website Ustore.lk (https://www.ustore.lk/collections/ponds) to check about the available products.",SENT,Pond's Sri Lanka Facebook,FBPAGE,Randika Soyza,Customer Care (Unilever),2023-10-17 18:08:28,2023-10-17 18:08:28,Neutral, ,1.0,Randika Soyza,5 days 23:27:51.995000,Is this available Sri Lanka,Hi Anupama Thank you for contacting Ponds Sri Lanka Kindly note that Ponds Age Miracle Day Cream is currently unavailable due to limited stock because of its high demand However please visit our website Ustorelk httpswwwustorelkcollectionsponds to check about the available products
2023-10-17,Pond's Sri Lanka Facebook,Online genna ganna barida,2023-10-16 17:06:07,Facebook,7929807,ඔබට අපගේ Ustore.lk (https://www.ustore.lk/) වෙබ් අඩවිය වෙත පිවිස Ponds Super Light Gel 50ml රුපියල් 750/- ට මිලදී ගත හැකිය.,SENT,Pond's Sri Lanka Facebook,FBPAGE,Chamini Madhushika,Customer Care (Unilever),2023-10-17 08:35:16,2023-10-17 08:35:18,Neutral, ,1.0,Chamini Madhushika,0 days 15:29:11.148000,Online genna ganna barida,ඔබට අපගේ Ustorelk httpswwwustorelk වෙබ් අඩවිය වෙත පිවිස Ponds Super Light Gel 50ml රුපියල් 750 ට මිලදී ගත හැකිය
2023-10-17,Ustore Sri Lanka Facebook,Soap wholsale  price,2023-10-11 18:59:51,Facebook,7937487,"Hi Mohamed, Thank you for contacting Ustore! 
We appreciate your interest in our products. Please feel free to contact our customer support team on 1323 (toll-free hotline) or SMS/WhatsApp 077 700 2 700 for assistance.",SENT,Ustore Sri Lanka Facebook,FBPAGE,Randika Soyza,Customer Care (Unilever),2023-10-17 18:45:25,2023-10-17 18:45:26,Neutral, ,1.0,Randika Soyza,5 days 23:45:35.827000,Soap wholsale price,Hi Mohamed Thank you for contacting Ustore We appreciate your interest in our products Please feel free to contact our customer support team on 1323 tollfree hotline or SMSWhatsApp 077 700 2 700 for assistance
2023-10-17,Ustore Sri Lanka Facebook,Oder ekka danna puluwanda,2023-10-16 10:45:07,Facebook,7102389,"Hi  Anushka! Welcome to Unilever Ustore Sri Lanka page!
ඔබට  ඇනවුම් කිරීමට අවශ්‍ය වන්නෙ Vaseline Advanced Repair Body Lotion 400ml පමනද?

Ustore වෙතින් ඇණවුම් කිරීම ගැන ස්තුතියි 🙂 ඔබගේ ඇණවුම තහවුරු කර ඇති අතර ඔබගේ ඇණවුම් අංකය UST350037395 බව කරුණාවෙන් සලකන්න. සාමාන්‍යයෙන් අප වැඩ කරන දින 3-4ක් ඇතුළත ඔබගේ ඇණවුම ලැබීමට සලස්වන අතර කොළඹ සහ තෝරාගත් තදාසන්න ප්‍රදේශවල ඇණවුම් දින 2-3ක් ඇතුළත බෙදා හැරේ. එය බෙදාහැරීමට පෙර අපගේ බෙදාහැරීම් නියෝජිතයෙකු ඔබ හා සම්බන්ධ වනු ඇත.


",SENT,Ustore Sri Lanka Facebook,FBPAGE,julgoda udara,Customer Care (Unilever),2023-10-17 11:46:22,2023-10-17 11:46:23,Neutral, ,1.0,julgoda udara,1 days 01:01:16.143000,Oder ekka danna puluwanda,Hi Anushka Welcome to Unilever Ustore Sri Lanka page ඔබට ඇනවුම් කිරීමට අවශ්ය වන්නෙ Vaseline Advanced Repair Body Lotion 400ml පමනද Ustore වෙතින් ඇණවුම් කිරීම ගැන ස්තුතියි 🙂 ඔබගේ ඇණවුම තහවුරු කර ඇති අතර ඔබගේ ඇණවුම් අංකය UST350037395 බව කරුණාවෙන් සලකන්න සාමාන්යයෙන් අප වැඩ කරන දින 34ක් ඇතුළත ඔබගේ ඇණවුම ලැබීමට සලස්වන අතර කොළඹ සහ තෝරාගත් තදාසන්න ප්රදේශවල ඇණවුම් දින 23ක් ඇතුළත බෙදා හැරේ එය බෙදාහැරීමට පෙර අපගේ බෙදාහැරීම් නියෝජිතයෙකු ඔබ හා සම්බන්ධ වනු ඇත
2023-10-17,Ustore Sri Lanka Facebook,Mage price eka,2023-10-17 11:47:59,Facebook,7102389,Thank you for staying in touch with us ☺️,SENT,Ustore Sri Lanka Facebook,FBPAGE,julgoda udara,Customer Care (Unilever),2023-10-17 13:08:18,2023-10-17 13:08:18,Neutral, ,1.0,julgoda udara,0 days 01:20:19.758000,Mage price eka,Thank you for staying in touch with us ☺
2023-10-17,Vaseline Sri Lanka Facebook,Me dekama tynwada,2023-10-17 08:54:00,Facebook,7933313,අප සතුව ඇත්තේ  Vaseline Healthy Bright SPF30 Sun Pollution Body Lotion එක පමණක් බව කරුණාවෙන් සළකන්න.,SENT,Vaseline Sri Lanka Facebook,FBPAGE,Randika Soyza,Customer Care (Unilever),2023-10-17 20:17:42,2023-10-17 20:17:43,Neutral, ,1.0,Randika Soyza,0 days 11:23:43.478000,Me dekama tynwada,අප සතුව ඇත්තේ Vaseline Healthy Bright SPF30 Sun Pollution Body Lotion එක පමණක් බව කරුණාවෙන් සළකන්න
2023-10-17,Marmite Sri Lanka Instagram,"මාමයිට් නම් වෙන මොනවද ❤️❤️❤
marmite.sl",2023-10-11 18:42:05,Instagram,7937265,"Thank you for taking the time to contact the Consumer Engagement Centre

In order for us to continuously improve our service please could you complete our short Consumer Satisfaction Survey by clicking on the following link.   

Click Here: %%[message__c_617bad9b5b7cd6357aed6a44:CRM NPS Survey URL]
Kind regards, 

Unilever Consumer Engagement Team",SENT,Marmite Sri Lanka Instagram,INSTAGRAM,Moderation User,Customer Care (Unilever),2023-10-17 17:49:35,2023-10-17 17:49:35,Neutral, ,1.0,Moderation User,5 days 23:07:30.852000,මාමයිට් නම් වෙන මොනවද ❤❤❤ marmitesl,Thank you for taking the time to contact the Consumer Engagement Centre In order for us to continuously improve our service please could you complete our short Consumer Satisfaction Survey by clicking on the following link Click Here Kind regards Unilever Consumer Engagement Team
2023-10-17,Marmite Sri Lanka Instagram,All Steps Done ✅ Waiting @marmite.sl,2023-10-13 12:24:10,Instagram,7940674,"Thank you for taking the time to contact the Consumer Engagement Centre

In order for us to continuously improve our service please could you complete our short Consumer Satisfaction Survey by clicking on the following link.   

Click Here: %%[message__c_617bad9b5b7cd6357aed6a44:CRM NPS Survey URL]
Kind regards, 

Unilever Consumer Engagement Team",SENT,Marmite Sri Lanka Instagram,INSTAGRAM,Moderation User,Customer Care (Unilever),2023-10-17 20:11:06,2023-10-17 20:11:06,Neutral, ,1.0,Moderation User,4 days 07:46:56.742000,All Steps Done ✅ Waiting marmitesl,Thank you for taking the time to contact the Consumer Engagement Centre In order for us to continuously improve our service please could you complete our short Consumer Satisfaction Survey by clicking on the following link Click Here Kind regards Unilever Consumer Engagement Team
2023-10-17,Knorr Sri Lanka Instagram,Hi where can I get the knorr pasta sauce ?,2023-10-11 14:09:37,Instagram,7929633,"Hi M A R Y A N N E 🤍, Thank you for contacting Knorr Sri Lanka! 
Please kindly note that we have not yet introduced the product you are referring to under Knorr Sri Lanka. To know our available product portfolio and prices visit Ustore.lk (https://ustore.lk/collections/knorr).",SENT,Knorr Sri Lanka Instagram,INSTAGRAM,Chamini Madhushika,default (Unilever),2023-10-17 17:26:03,2023-10-17 17:26:07,Neutral, ,1.0,Chamini Madhushika,6 days 03:16:29.736000,Hi where can I get the knorr pasta sauce,Hi M A R Y A N N E 🤍 Thank you for contacting Knorr Sri Lanka Please kindly note that we have not yet introduced the product you are referring to under Knorr Sri Lanka To know our available product portfolio and prices visit Ustorelk httpsustorelkcollectionsknorr
2023-10-17,Ustore Sri Lanka Instagram,"Hi, How much is ponds moisturizer?",2023-10-11 09:34:57,Instagram,7933675,"Hi رقية, Thank you for contacting Ustore! 
You can purchase Pond's Light Moisturizer 25ml for Rs.300/-, with 20% off discount. If you wish to purchase, register yourself and get it delivered to your doorstep from our website Ustore.lk (https://ustore.lk/collections/ponds).",SENT,Ustore Sri Lanka Instagram,INSTAGRAM,Randika Soyza,default (Unilever),2023-10-17 14:28:28,2023-10-17 14:28:32,Neutral, ,1.0,Randika Soyza,6 days 04:53:35.913000,Hi How much is ponds moisturizer,Hi رقية Thank you for contacting Ustore You can purchase Ponds Light Moisturizer 25ml for Rs300 with 20 off discount If you wish to purchase register yourself and get it delivered to your doorstep from our website Ustorelk httpsustorelkcollectionsponds
2023-10-17,Ustore Sri Lanka Instagram,I need 1 moisturizer...,2023-10-17 15:40:02,Instagram,7933675,The minimum order value is Rs.800/- and the delivery is absolutely free.,SENT,Ustore Sri Lanka Instagram,INSTAGRAM,Randika Soyza,default (Unilever),2023-10-17 17:12:24,2023-10-17 17:12:25,Neutral, ,1.0,Randika Soyza,0 days 01:32:22.416000,I need 1 moisturizer,The minimum order value is Rs800 and the delivery is absolutely free
2023-10-17,Ustore Sri Lanka Instagram,Ritzbury 🤩@______tharu______67 @jayani_dewmini_97,2023-10-13 13:05:55,Instagram,7942454,"Thank you for taking the time to contact the Consumer Engagement Centre

In order for us to continuously improve our service please could you complete our short Consumer Satisfaction Survey by clicking on the following link.   

Click Here: %%[message__c_617bad9b5b7cd6357aed6a44:CRM NPS Survey URL]
Kind regards, 

Unilever Consumer Engagement Team",SENT,Ustore Sri Lanka Instagram,INSTAGRAM,Moderation User,Customer Care (Unilever),2023-10-17 22:41:26,2023-10-17 22:41:26,Neutral, ,1.0,Moderation User,4 days 09:35:31.784000,Ritzbury 🤩______tharu______67 jayani_dewmini_97,Thank you for taking the time to contact the Consumer Engagement Centre In order for us to continuously improve our service please could you complete our short Consumer Satisfaction Survey by clicking on the following link Click Here Kind regards Unilever Consumer Engagement Team
2023-10-17,Ustore Sri Lanka Instagram,Pears @curly_girl_chandu @jayani_dewmini_97 ❤️,2023-10-10 20:23:02,Instagram,7929155,"Thank you for taking the time to contact the Consumer Engagement Centre

In order for us to continuously improve our service please could you complete our short Consumer Satisfaction Survey by clicking on the following link.   

Click Here: %%[message__c_617bad9b5b7cd6357aed6a44:CRM NPS Survey URL]
Kind regards, 

Unilever Consumer Engagement Team",SENT,Ustore Sri Lanka Instagram,INSTAGRAM,Moderation User,Customer Care (Unilever),2023-10-17 14:29:29,2023-10-17 14:29:29,Positive, ,1.0,Moderation User,6 days 18:06:27.564000,Pears curly_girl_chandu jayani_dewmini_97 ❤,Thank you for taking the time to contact the Consumer Engagement Centre In order for us to continuously improve our service please could you complete our short Consumer Satisfaction Survey by clicking on the following link Click Here Kind regards Unilever Consumer Engagement Team
2023-10-17,Vaseline Sri Lanka Instagram,Done my best ...Awaiting BIG Hopefully,2023-10-11 13:41:59,Instagram,7935100,"Thank you for taking the time to contact the Consumer Engagement Centre

In order for us to continuously improve our service please could you complete our short Consumer Satisfaction Survey by clicking on the following link.   

Click Here: %%[message__c_617bad9b5b7cd6357aed6a44:CRM NPS Survey URL]
Kind regards, 

Unilever Consumer Engagement Team",SENT,Vaseline Sri Lanka Instagram,INSTAGRAM,Moderation User,Customer Care (Unilever),2023-10-17 12:19:19,2023-10-17 12:19:19,Positive, ,1.0,Moderation User,5 days 22:37:19.893000,Done my best Awaiting BIG Hopefully,Thank you for taking the time to contact the Consumer Engagement Centre In order for us to continuously improve our service please could you complete our short Consumer Satisfaction Survey by clicking on the following link Click Here Kind regards Unilever Consumer Engagement Team
2023-10-18,Lifebuoy Sri Lanka Facebook,Ok. Thank you your reply,2023-10-16 19:31:16,Facebook,7948108,"Hi Sarat, Thank you for contacting Lifebuoy Sri Lanka!
Could you please provide us with your email address? ",SENT,Lifebuoy Sri Lanka Facebook,FBPAGE,Randika Soyza,Customer Care (Unilever),2023-10-18 11:56:35,2023-10-18 11:56:36,Positive, ,1.0,Randika Soyza,1 days 16:25:20.579000,Ok Thank you your reply,Hi Sarat Thank you for contacting Lifebuoy Sri Lanka Could you please provide us with your email address
2023-10-18,Glow & Lovely Sri Lanka Facebook,"Done 👍♥️
Glow and Lovely Sri Lanka 
Waiting Hopefully ❤️",2023-10-18 10:15:27,Facebook,7949867,"Thank you for taking the time to contact the Consumer Engagement Centre

In order for us to continuously improve our service please could you complete our short Consumer Satisfaction Survey by clicking on the following link.   

Click Here: https://unilevercarelines.qualtrics.com/jfe/form/SV_eR8J8s18eusSctg?Case%20ID=5004J00000mN81p&Q_Language=en
Kind regards, 

Unilever Consumer Engagement Team",SENT,Glow & Lovely Sri Lanka Facebook,FBPAGE,SprinklrSystem,Customer Care (Unilever),2023-10-18 13:47:53,2023-10-18 13:47:53,Positive, ,1.0,SprinklrSystem,0 days 03:32:26,Done 👍♥ Glow and Lovely Sri Lanka Waiting Hopefully ❤,Thank you for taking the time to contact the Consumer Engagement Centre In order for us to continuously improve our service please could you complete our short Consumer Satisfaction Survey by clicking on the following link Click Here httpsunilevercarelinesqualtricscomjfeformSV_eR8J8s18eusSctgCase20ID5004J00000mN81pQ_Languageen Kind regards Unilever Consumer Engagement Team
2023-10-18,Dove Sri Lanka Facebook,Natural curly hair එකකට පාවිච්චි කරන්න හොදද,2023-10-12 13:24:40,Facebook,7943472,"Hi Shiro, ඔව්, ඔබට Dove Intense Repair Shampoo සහ Dove Intense Repair Conditioner නිර්දේශ කරන්න පුළුවන්.",SENT,Dove Sri Lanka Facebook,FBPAGE,Randika Soyza,Customer Care (Unilever),2023-10-18 00:36:44,2023-10-18 00:36:44,Neutral, ,1.0,Randika Soyza,5 days 11:12:09.237000,Natural curly hair එකකට පාවිච්චි කරන්න හොදද,Hi Shiro ඔව් ඔබට Dove Intense Repair Shampoo සහ Dove Intense Repair Conditioner නිර්දේශ කරන්න පුළුවන්
2023-10-18,Dove Sri Lanka Facebook,වියලි ඩැමේජ් හෙයාර් එකට හොද මොකක්ද Dove එකේ,2023-10-12 12:43:56,Facebook,7943193,"Hi Indika, ඔබට Dove Intense Repair Shampoo සහ Dove Intense Repair Conditioner නිර්දේශ කරන්න පුළුවන්.",SENT,Dove Sri Lanka Facebook,FBPAGE,Randika Soyza,Customer Care (Unilever),2023-10-18 00:23:46,2023-10-18 00:23:48,Neutral, ,1.0,Randika Soyza,5 days 11:39:52.642000,වියලි ඩැමේජ් හෙයාර් එකට හොද මොකක්ද Dove එකේ,Hi Indika ඔබට Dove Intense Repair Shampoo සහ Dove Intense Repair Conditioner නිර්දේශ කරන්න පුළුවන්
2023-10-18,Lever Ayush Sri Lanka,Normal skin akata use karanna puluwanda,2023-10-13 14:38:46,Facebook,7953377,"Hi Nilmini, ඔව්, භාවිතා කරන්න පුළුවන්.",SENT,Lever Ayush Sri Lanka,FBPAGE,Randika Soyza,Customer Care (Unilever),2023-10-18 22:40:18,2023-10-18 22:40:20,Neutral, ,1.0,Randika Soyza,5 days 08:01:34.683000,Normal skin akata use karanna puluwanda,Hi Nilmini ඔව් භාවිතා කරන්න පුළුවන්
